decision_week,design,design_label,future_failure_events,captured_failure_events,missed_failure_weeks,recall_at_15,precision_at_15,total_cost
2025-11-03,E_final_combined,E. Final + technical confirmation,80,29,51,0.3625,0.9666666666666667,36300
2025-11-10,A_current_success,A. Current success only,74,22,52,0.2972972972972973,0.7333333333333333,36900
2025-11-10,B_success_deterioration,B. Success + deterioration,74,25,49,0.33783783783783783,0.8333333333333334,35100
2025-11-10,C_success_persistence,C. Success + persistence,74,21,53,0.28378378378378377,0.7,37500
2025-11-10,D_business_only,D. Business-only combined,74,23,51,0.3108108108108108,0.7666666666666667,36300
2025-11-10,E_final_combined,E. Final + technical confirmation,74,22,52,0.2972972972972973,0.7333333333333333,36900
2025-11-17,A_current_success,A. Current success only,63,17,46,0.2698412698412698,0.5666666666666667,33300
2025-11-17,B_success_deterioration,B. Success + deterioration,63,23,40,0.36507936507936506,0.7666666666666667,29700
2025-11-17,C_success_persistence,C. Success + persistence,63,19,44,0.30158730158730157,0.6333333333333333,32100
2025-11-17,D_business_only,D. Business-only combined,63,22,41,0.3492063492063492,0.7333333333333333,30300
2025-11-17,E_final_combined,E. Final + technical confirmation,63,22,41,0.3492063492063492,0.7333333333333333,30300
2025-11-24,A_current_success,A. Current success only,60,21,39,0.35,0.7,29100
2025-11-24,B_success_deterioration,B. Success + deterioration,60,23,37,0.38333333333333336,0.7666666666666667,27900
2025-11-24,C_success_persistence,C. Success + persistence,60,19,41,0.31666666666666665,0.6333333333333333,30300
2025-11-24,D_business_only,D. Business-only combined,60,23,37,0.38333333333333336,0.7666666666666667,27900
2025-11-24,E_final_combined,E. Final + technical confirmation,60,23,37,0.38333333333333336,0.7666666666666667,27900
2025-12-01,A_current_success,A. Current success only,65,19,46,0.2923076923076923,0.6333333333333333,33300
2025-12-01,B_success_deterioration,B. Success + deterioration,65,22,43,0.3384615384615385,0.7333333333333333,31500
2025-12-01,C_success_persistence,C. Success + persistence,65,18,47,0.27692307692307694,0.6,33900
2025-12-01,D_business_only,D. Business-only combined,65,22,43,0.3384615384615385,0.7333333333333333,31500
2025-12-01,E_final_combined,E. Final + technical confirmation,65,21,44,0.3230769230769231,0.7,32100
2025-12-08,A_current_success,A. Current success only,63,20,43,0.31746031746031744,0.6666666666666666,31500
2025-12-08,B_success_deterioration,B. Success + deterioration,63,23,40,0.36507936507936506,0.7666666666666667,29700
2025-12-08,C_success_persistence,C. Success + persistence,63,17,46,0.2698412698412698,0.5666666666666667,33300
2025-12-08,D_business_only,D. Business-only combined,63,23,40,0.36507936507936506,0.7666666666666667,29700
2025-12-08,E_final_combined,E. Final + technical confirmation,63,21,42,0.3333333333333333,0.7,30900
2025-12-15,A_current_success,A. Current success only,60,18,42,0.3,0.6,30900
2025-12-15,B_success_deterioration,B. Success + deterioration,60,22,38,0.36666666666666664,0.7333333333333333,28500
2025-12-15,C_success_persistence,C. Success + persistence,60,16,44,0.26666666666666666,0.5333333333333333,32100
2025-12-15,D_business_only,D. Business-only combined,60,22,38,0.36666666666666664,0.7333333333333333,28500
2025-12-15,E_final_combined,E. Final + technical confirmation,60,22,38,0.36666666666666664,0.7333333333333333,28500
2025-12-22,A_current_success,A. Current success only,59,20,39,0.3389830508474576,0.6666666666666666,29100
2025-12-22,B_success_deterioration,B. Success + deterioration,59,23,36,0.3898305084745763,0.7666666666666667,27300
2025-12-22,C_success_persistence,C. Success + persistence,59,18,41,0.3050847457627119,0.6,30300
2025-12-22,D_business_only,D. Business-only combined,59,23,36,0.3898305084745763,0.7666666666666667,27300
2025-12-22,E_final_combined,E. Final + technical confirmation,59,21,38,0.3559322033898305,0.7,28500
2025-12-29,A_current_success,A. Current success only,59,26,33,0.4406779661016949,0.8666666666666667,25500
2025-12-29,B_success_deterioration,B. Success + deterioration,59,26,33,0.4406779661016949,0.8666666666666667,25500
2025-12-29,C_success_persistence,C. Success + persistence,59,24,35,0.4067796610169492,0.8,26700
2025-12-29,D_business_only,D. Business-only combined,59,26,33,0.4406779661016949,0.8666666666666667,25500
2025-12-29,E_final_combined,E. Final + technical confirmation,59,25,34,0.423728813559322,0.8333333333333334,26100
2026-01-05,A_current_success,A. Current success only,58,29,29,0.5,0.9666666666666667,23100
2026-01-05,B_success_deterioration,B. Success + deterioration,58,22,36,0.3793103448275862,0.7333333333333333,27300
2026-01-05,C_success_persistence,C. Success + persistence,58,28,30,0.4827586206896552,0.9333333333333333,23700
2026-01-05,D_business_only,D. Business-only combined,58,22,36,0.3793103448275862,0.7333333333333333,27300
2026-01-05,E_final_combined,E. Final + technical confirmation,58,24,34,0.41379310344827586,0.8,26100
2026-01-12,A_current_success,A. Current success only,54,27,27,0.5,0.9,21900
2026-01-12,B_success_deterioration,B. Success + deterioration,54,27,27,0.5,0.9,21900
2026-01-12,C_success_persistence,C. Success + persistence,54,25,29,0.46296296296296297,0.8333333333333334,23100
2026-01-12,D_business_only,D. Business-only combined,54,25,29,0.46296296296296297,0.8333333333333334,23100
2026-01-12,E_final_combined,E. Final + technical confirmation,54,28,26,0.5185185185185185,0.9333333333333333,21300
