decision_week,previous_week,model,gateways_available,historical_repairs,repairs_captured_top15,repair_capture,mean_repair_rank,median_repair_rank
2026-01-05,2025-12-29,technical,271,3,0,0.0,65.33333333333333,33.0
2026-01-05,2025-12-29,balanced,271,3,2,0.6666666666666666,56.333333333333336,13.0
2026-01-05,2025-12-29,full,271,3,2,0.6666666666666666,57.666666666666664,13.0
2026-01-12,2026-01-05,business,276,3,1,0.3333333333333333,13.0,16.0
2026-01-12,2026-01-05,technical,276,3,2,0.6666666666666666,95.0,15.0
2026-01-12,2026-01-05,balanced,276,3,2,0.6666666666666666,29.666666666666668,10.0
2026-01-12,2026-01-05,full,276,3,2,0.6666666666666666,24.333333333333332,10.0
2026-01-19,2026-01-12,business,278,2,1,0.5,110.5,110.5
2026-01-19,2026-01-12,technical,278,2,0,0.0,154.5,154.5
2026-01-19,2026-01-12,balanced,278,2,0,0.0,124.0,124.0
2026-01-19,2026-01-12,full,278,2,0,0.0,118.0,118.0
2026-01-26,2026-01-19,business,285,4,3,0.75,75.0,13.0
2026-01-26,2026-01-19,technical,285,4,2,0.5,54.0,14.5
2026-01-26,2026-01-19,balanced,285,4,3,0.75,71.5,6.5
2026-01-26,2026-01-19,full,285,4,3,0.75,71.5,6.5
