decision_week,recall_at_15,precision_at_15,threshold_flagged
2025-08-04,0.46875,1.0,25
2025-08-11,0.3888888888888889,0.9333333333333333,26
2025-08-18,0.38461538461538464,1.0,30
2025-08-25,0.4666666666666667,0.9333333333333333,31
2025-09-01,0.3870967741935484,0.8,28
2025-09-08,0.4375,0.9333333333333333,20
2025-09-15,0.4117647058823529,0.9333333333333333,27
2025-09-22,0.4827586206896552,0.9333333333333333,28
2025-09-29,0.4838709677419355,1.0,27
2025-10-06,0.4166666666666667,1.0,25
2025-10-13,0.38461538461538464,1.0,27
2025-10-20,0.36585365853658536,1.0,33
2025-10-27,0.35714285714285715,1.0,33
2025-11-03,0.3333333333333333,1.0,37
2025-11-10,0.3488372093023256,1.0,40
2025-11-17,0.39473684210526316,1.0,40
2025-11-24,0.39473684210526316,1.0,34
2025-12-01,0.39473684210526316,1.0,29
2025-12-08,0.35135135135135137,0.8666666666666667,30
2025-12-15,0.4166666666666667,1.0,33
2025-12-22,0.42424242424242425,0.9333333333333333,30
2025-12-29,0.4411764705882353,1.0,30
2026-01-05,0.45454545454545453,1.0,29
2026-01-12,0.5,1.0,30
