decision_week,future_failure_events,simple_recall,simple_precision,simple_missed_failure_weeks,simple_total_cost,combined_recall,combined_precision,combined_missed_failure_weeks,combined_total_cost,cost_difference,horizon_weeks
2026-01-19,26,0.5769230769230769,1.0,11,12300,0.34615384615384615,0.6,17,15900,3600,1
2026-01-26,0,,0.0,0,5700,,0.0,0,5700,0,1
2025-08-11,61,0.39344262295081966,0.8,37,27900,0.4098360655737705,0.8333333333333334,36,27300,-600,2
2025-08-18,59,0.3728813559322034,0.7333333333333333,37,27900,0.3728813559322034,0.7333333333333333,37,27900,0,2
2025-08-25,49,0.32653061224489793,0.5333333333333333,33,25500,0.24489795918367346,0.4,37,27900,2400,2
2025-09-01,48,0.20833333333333334,0.3333333333333333,38,28500,0.3958333333333333,0.6333333333333333,29,23100,-5400,2
2025-09-08,55,0.2909090909090909,0.5333333333333333,39,29100,0.45454545454545453,0.8333333333333334,30,23700,-5400,2
2025-09-15,55,0.34545454545454546,0.6333333333333333,36,27300,0.4,0.7333333333333333,33,25500,-1800,2
2025-09-22,52,0.3269230769230769,0.5666666666666667,35,26700,0.36538461538461536,0.6333333333333333,33,25500,-1200,2
2025-09-29,52,0.38461538461538464,0.6666666666666666,32,24900,0.4423076923076923,0.7666666666666667,29,23100,-1800,2
2025-10-06,60,0.4166666666666667,0.8333333333333334,35,26700,0.4,0.8,36,27300,600,2
2025-10-13,66,0.3484848484848485,0.7666666666666667,43,31500,0.36363636363636365,0.8,42,30900,-600,2
2025-10-20,70,0.32857142857142857,0.7666666666666667,47,33900,0.35714285714285715,0.8333333333333334,45,32700,-1200,2
2025-10-27,77,0.35064935064935066,0.9,50,35700,0.3246753246753247,0.8333333333333334,52,36900,1200,2
2025-11-03,80,0.35,0.9333333333333333,52,36900,0.3625,0.9666666666666667,51,36300,-600,2
2025-11-10,74,0.2972972972972973,0.7333333333333333,52,36900,0.2972972972972973,0.7333333333333333,52,36900,0,2
2025-11-17,63,0.2698412698412698,0.5666666666666667,46,33300,0.3492063492063492,0.7333333333333333,41,30300,-3000,2
2025-11-24,60,0.35,0.7,39,29100,0.38333333333333336,0.7666666666666667,37,27900,-1200,2
2025-12-01,65,0.2923076923076923,0.6333333333333333,46,33300,0.3230769230769231,0.7,44,32100,-1200,2
2025-12-08,64,0.3125,0.6666666666666666,44,32100,0.34375,0.7333333333333333,42,30900,-1200,2
2025-12-15,60,0.3,0.6,42,30900,0.3333333333333333,0.6666666666666666,40,29700,-1200,2
2025-12-22,59,0.3389830508474576,0.6666666666666666,39,29100,0.3559322033898305,0.7,38,28500,-600,2
2025-12-29,59,0.4406779661016949,0.8666666666666667,33,25500,0.423728813559322,0.8333333333333334,34,26100,600,2
2026-01-05,58,0.5,0.9666666666666667,29,23100,0.41379310344827586,0.8,34,26100,3000,2
2026-01-12,54,0.5,0.9,27,21900,0.5185185185185185,0.9333333333333333,26,21300,-600,2
2026-01-19,26,0.5769230769230769,0.5,11,12300,0.34615384615384615,0.3,17,15900,3600,2
2026-01-26,0,,0.0,0,5700,,0.0,0,5700,0,2
2025-08-11,89,0.34831460674157305,0.6888888888888889,58,40500,0.38202247191011235,0.7555555555555555,55,38700,-1800,3
2025-08-18,80,0.325,0.5777777777777777,54,38100,0.325,0.5777777777777777,54,38100,0,3
2025-08-25,76,0.25,0.4222222222222222,57,39900,0.19736842105263158,0.3333333333333333,61,42300,2400,3
2025-09-01,76,0.18421052631578946,0.3111111111111111,62,42900,0.34210526315789475,0.5777777777777777,50,35700,-7200,3
