feature,fixed_mean,no_error_mean,mean_difference,fixed_median,no_error_median,standardized_difference,abs_effect
success_rate,0.54586930566442,0.7941995608273471,-0.24833025516292706,0.5391750773000409,0.8885245901639345,-0.9582231784154392,0.9582231784154392
success_change,-0.10944797860310247,-0.011889852752555673,-0.0975581258505468,-0.0915970983952018,0.0,-0.8916592313205827,0.8916592313205827
offline_change,528869.2547169811,-80964.07058823529,609833.3253052164,142841.5,-238.0,0.5324185676754362,0.5324185676754362
disconnection_change,97.83018867924528,2.164705882352941,95.66548279689233,33.0,-1.0,0.5173752332549667,0.5173752332549667
low_success_streak,2.973684210526316,1.3142857142857143,1.6593984962406017,2.0,0.0,0.5088541355123195,0.5088541355123195
offline_duration_sec,1390387.5263157894,360058.53142857144,1030328.994887218,302322.0,21600.0,0.48539319792980024,0.48539319792980024
reboot_change,14.169811320754716,-1.423529411764706,15.593340732519422,1.0,0.0,0.3944817985534611,0.3944817985534611
disconnection_cnt,331.1140350877193,184.02857142857144,147.08546365914785,132.5,44.0,0.3266761815202136,0.3266761815202136
reboot_cnt,39.73684210526316,7.445714285714286,32.29112781954887,2.0,0.0,0.3037845340222854,0.3037845340222854
reboot_duration_sec,65519.70175438596,9054.411428571428,56465.29032581454,574.5,0.0,0.25933886555480723,0.25933886555480723
technical_streak,1.9736842105263157,1.76,0.2136842105263157,1.0,0.0,0.05263869649506449,0.05263869649506449
n_meters_installed,191.78070175438597,194.1942857142857,-2.4135839598997393,169.0,156.0,-0.02100946679790743,0.02100946679790743
