feature,normal_mean,schlecht_mean,difference,standardized_difference,abs_effect
disconnection_cnt,36.80701754385965,337.9433962264151,301.1363786825554,0.8555771024722038,0.8555771024722038
offline_duration_sec,104094.01754385965,999879.3018867924,895785.2843429327,0.5080807809373089,0.5080807809373089
reboot_duration_sec,1352.3684210526317,14940.67924528302,13588.310824230388,0.3961529935678144,0.3961529935678144
success_rate,0.8255804925528699,0.7430461004567265,-0.08253439209614344,-0.35270773978905295,0.35270773978905295
reboot_cnt,2.3859649122807016,11.622641509433961,9.23667659715326,0.2927035349742757,0.2927035349742757
reboot_change,0.10714285714285714,-30.50943396226415,-30.61657681940701,-0.19968918537150068,0.19968918537150068
disconnection_change,-3.6964285714285716,-42.264150943396224,-38.567722371967655,-0.15169492394731998,0.15169492394731998
success_change,-0.013034929701087324,-0.019897358805849825,-0.0068624291047625005,-0.09230027071889739,0.09230027071889739
low_success_streak,1.2280701754385965,1.509433962264151,0.2813637868255545,0.0866434124037941,0.0866434124037941
n_meters_installed,177.2982456140351,173.60377358490567,-3.694472029129429,-0.03662658598210349,0.03662658598210349
offline_change,13345.535714285714,-2544.4528301886794,-15889.988544474392,-0.02124578323139807,0.02124578323139807
