decision_week,selected,future_failures_in_week,future_failures_captured,recall_at_15,precision_at_15,mean_selected_score
2025-09-01,15,31,15,0.4838709677419355,1.0,0.9392589285714285
2025-09-08,15,32,15,0.46875,1.0,0.9279002389486259
2025-09-15,15,34,14,0.4117647058823529,0.9333333333333333,0.9343249701314218
2025-09-22,15,29,14,0.4827586206896552,0.9333333333333333,0.9278087529976019
2025-09-29,15,31,15,0.4838709677419355,1.0,0.9385371702637889
2025-10-06,15,36,14,0.3888888888888889,0.9333333333333333,0.9278429602888087
2025-10-13,15,39,14,0.358974358974359,0.9333333333333333,0.9270126353790614
2025-10-20,15,41,14,0.34146341463414637,0.9333333333333333,0.9286896135265701
2025-10-27,15,42,15,0.35714285714285715,1.0,0.9192149758454107
2025-11-03,15,45,15,0.3333333333333333,1.0,0.9317361111111111
2025-11-10,15,43,15,0.3488372093023256,1.0,0.9257848484848485
2025-11-17,15,38,15,0.39473684210526316,1.0,0.9121046228710461
2025-11-24,15,38,14,0.3684210526315789,0.9333333333333333,0.909501216545012
2025-12-01,15,38,15,0.39473684210526316,1.0,0.9074543795620438
2025-12-08,15,37,13,0.35135135135135137,0.8666666666666667,0.9085989010989013
2025-12-15,15,36,14,0.3888888888888889,0.9333333333333333,0.9167250922509227
2025-12-22,15,33,14,0.42424242424242425,0.9333333333333333,0.9139975399753997
2025-12-29,15,34,14,0.4117647058823529,0.9333333333333333,0.9272355473554735
2026-01-05,15,33,15,0.45454545454545453,1.0,0.9321950483091788
2026-01-12,15,30,10,0.3333333333333333,0.6666666666666666,0.909994004796163
